id,depotId,cert_stock,cert_signal,cert_telecom,jobCards_count,jobCards_list,odometer,lastService,branding_status,branding_hoursRemaining,branding_totalHours,branding_endDate,cleaningSlot,crew_assigned,crew_driverId,crew_validUntil,override_flag,override_category,override_reason,override_by,serviceStatus,arrivalTime
KM001,Muttom,2025-12-27,2025-11-01,2026-07-29,2,[],120214,2025-02-13,True,48,164,2026-05-16,True,True,CR010,05/07/26 0000,True,Operational,Special Event Demand,Workshop Staff,maintenance,None
KM002,Muttom,2026-01-31,2026-06-30,2026-05-01,2,[],124041,2024-07-20,False,8,0,None,True,True,CR015,16/02/26 0000,False,None,None,None,maintenance,None
KM003,Muttom,2026-06-04,2025-12-06,2026-03-31,2,[],153484,2024-05-07,False,5,0,None,True,True,CR018,09/03/26 0000,False,None,None,None,outOfService,None
KM004,Muttom,2026-07-28,2026-03-12,2026-04-21,0,[],122593,2025-03-03,False,12,0,None,True,True,CR025,21/07/26 0000,False,None,None,None,outOfService,None
KM005,Muttom,2026-06-12,2026-02-03,2026-05-19,0,[],152025,2024-07-24,True,34,75,2026-06-27,True,True,CR025,13/07/26 0000,True,Maintenance,Pre-Emptive Maintenance,Workshop Staff,maintenance,None
KM006,Muttom,2026-03-23,2026-04-05,2026-08-05,1,[],136562,2023-12-10,True,34,145,2026-01-09,True,True,CR011,19/06/26 0000,True,Maintenance,Pre-Emptive Maintenance,Control Room,inService,11:24 PM
KM007,Muttom,2025-02-27,2027-01-24,2027-10-13,2,"[{'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Passenger display malfunction', 'priority': 'High'}]",150154,2023-11-10,True,7,123,2026-06-16,False,True,CR018,02/03/26 0000,True,Operational,Special Event Demand,Control Room,maintenance,None
KM008,Muttom,2025-06-17,2027-05-30,2025-10-07,2,"[{'title': 'HVAC failure', 'priority': 'Medium'}, {'title': 'Traction motor failure', 'priority': 'Low'}]",121333,2024-11-27,True,18,206,2026-09-24,True,False,,,False,None,None,None,outOfService,None
KM009,Muttom,2026-04-20,2027-02-24,2027-06-24,0,[],135674,2024-09-11,False,8,0,None,True,True,CR013,23/07/26 0000,False,None,None,None,inService,11:12 PM
KM010,Muttom,2025-05-01,2027-07-13,2026-08-24,4,"[{'title': 'Emergency braking system fault', 'priority': 'Low'}, {'title': 'Passenger display malfunction', 'priority': 'Medium'}, {'title': 'CCTV fault', 'priority': 'High'}, {'title': 'Lighting faults', 'priority': 'High'}]",144382,2024-03-05,True,18,78,2025-12-01,True,True,CR017,03/07/26 0000,True,Safety,Emergency Recall,Operations Manager,standby,None
KM011,Muttom,2024-12-12,2026-04-07,2026-08-13,6,"[{'title': 'HVAC failure', 'priority': 'Critical'}, {'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Lighting faults', 'priority': 'Critical'}, {'title': 'Lighting faults', 'priority': 'Low'}, {'title': 'Door sensor fault', 'priority': 'Medium'}, {'title': 'Pantograph wear', 'priority': 'Critical'}]",131360,2024-01-17,False,12,0,None,False,False,,,False,None,None,None,standby,None
